ID,DisplayName,StandardName,DaylightName,BaseUtcOffset
Turks And Caicos Standard Time,(UTC-05:00) Turks and Caicos,Turks and Caicos Standard Time,Turks and Caicos Daylight Time,-05:00:00
Paraguay Standard Time,(UTC-04:00) Asuncion,Paraguay Standard Time,Paraguay Daylight Time,-04:00:00
Atlantic Standard Time,(UTC-04:00) Atlantic Time (Canada),Atlantic Standard Time,Atlantic Daylight Time,-04:00:00
Venezuela Standard Time,(UTC-04:00) Caracas,Venezuela Standard Time,Venezuela Daylight Time,-04:00:00
Central Brazilian Standard Time,(UTC-04:00) Cuiaba,Central Brazilian Standard Time,Central Brazilian Daylight Time,-04:00:00
SA Western Standard Time,(UTC-04:00) Georgetown* La Paz* Manaus* San Juan,SA Western Standard Time,SA Western Daylight Time,-04:00:00
Pacific SA Standard Time,(UTC-04:00) Santiago,Pacific SA Standard Time,Pacific SA Daylight Time,-04:00:00
Newfoundland Standard Time,(UTC-03:30) Newfoundland,Newfoundland Standard Time,Newfoundland Daylight Time,-03:30:00
Tocantins Standard Time,(UTC-03:00) Araguaina,Tocantins Standard Time,Tocantins Daylight Time,-03:00:00
E. South America Standard Time,(UTC-03:00) Brasilia,E. South America Standard Time,E. South America Daylight Time,-03:00:00
SA Eastern Standard Time,(UTC-03:00) Cayenne* Fortaleza,SA Eastern Standard Time,SA Eastern Daylight Time,-03:00:00
Argentina Standard Time,(UTC-03:00) City of Buenos Aires,Argentina Standard Time,Argentina Daylight Time,-03:00:00
Greenland Standard Time,(UTC-03:00) Greenland,Greenland Standard Time,Greenland Daylight Time,-03:00:00
Montevideo Standard Time,(UTC-03:00) Montevideo,Montevideo Standard Time,Montevideo Daylight Time,-03:00:00
Magallanes Standard Time,(UTC-03:00) Punta Arenas,Magallanes Standard Time,Magallanes Daylight Time,-03:00:00
Saint Pierre Standard Time,(UTC-03:00) Saint Pierre and Miquelon,Saint Pierre Standard Time,Saint Pierre Daylight Time,-03:00:00
Bahia Standard Time,(UTC-03:00) Salvador,Bahia Standard Time,Bahia Daylight Time,-03:00:00
UTC-02,(UTC-02:00) Coordinated Universal Time-02,UTC-02,UTC-02,-02:00:00
Mid-Atlantic Standard Time,(UTC-02:00) Mid-Atlantic - Old,Mid-Atlantic Standard Time,Mid-Atlantic Daylight Time,-02:00:00
Azores Standard Time,(UTC-01:00) Azores,Azores Standard Time,Azores Daylight Time,-01:00:00
Cape Verde Standard Time,(UTC-01:00) Cabo Verde Is.,Cabo Verde Standard Time,Cabo Verde Daylight Time,-01:00:00
UTC,(UTC) Coordinated Universal Time,Coordinated Universal Time,Coordinated Universal Time,00:00:00
GMT Standard Time,(UTC+00:00) Dublin* Edinburgh* Lisbon* London,GMT Standard Time,GMT Daylight Time,00:00:00
Greenwich Standard Time,(UTC+00:00) Monrovia* Reykjavik,Greenwich Standard Time,Greenwich Daylight Time,00:00:00
Sao Tome Standard Time,(UTC+00:00) Sao Tome,Sao Tome Standard Time,Sao Tome Daylight Time,00:00:00
Morocco Standard Time,(UTC+01:00) Casablanca,Morocco Standard Time,Morocco Daylight Time,00:00:00
W. Europe Standard Time,(UTC+01:00) Amsterdam* Berlin* Bern* Rome* Stockholm* Vienna,W. Europe Standard Time,W. Europe Daylight Time,01:00:00
Central Europe Standard Time,(UTC+01:00) Belgrade* Bratislava* Budapest* Ljubljana* Prague,Central Europe Standard Time,Central Europe Daylight Time,01:00:00
Romance Standard Time,(UTC+01:00) Brussels* Copenhagen* Madrid* Paris,Romance Standard Time,Romance Daylight Time,01:00:00
Central European Standard Time,(UTC+01:00) Sarajevo* Skopje* Warsaw* Zagreb,Central European Standard Time,Central European Daylight Time,01:00:00
W. Central Africa Standard Time,(UTC+01:00) West Central Africa,W. Central Africa Standard Time,W. Central Africa Daylight Time,01:00:00
Jordan Standard Time,(UTC+02:00) Amman,Jordan Standard Time,Jordan Daylight Time,02:00:00
GTB Standard Time,(UTC+02:00) Athens* Bucharest,GTB Standard Time,GTB Daylight Time,02:00:00
